mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_243_0,MRA_MAP,25,302.563,END,0.000
0_222_0,MRA_MAP,13,303.103,END,0.000
0_231_0,MRA_MAP,29,312.639,END,0.000
0_215_0,MRA_MAP,27,314.730,END,0.000
0_232_0,MRA_MAP,29,315.641,END,0.000
0_220_0,MRA_MAP,27,317.732,END,0.000
0_221_0,MRA_MAP,24,323.901,END,0.000
0_255_1,MRA_MAP,10,324.173,START,
0_233_0,MRA_MAP,24,326.902,END,0.000
0_247_0,MRA_MAP,31,327.557,END,0.000
0_234_0,MRA_MAP,14,327.796,END,0.000
0_254_0,MRA_MAP,14,330.191,START,
0_248_0,MRA_MAP,31,330.559,END,0.000
0_238_0,MRA_MAP,14,330.797,END,0.000
0_229_0,MRA_MAP,20,339.247,END,0.000
0_227_0,MRA_MAP,23,339.450,END,0.000
0_241_0,MRA_MAP,30,339.859,END,0.000
0_237_0,MRA_MAP,26,340.278,END,0.000
0_228_0,MRA_MAP,16,341.386,END,0.000
0_226_0,MRA_MAP,21,341.840,END,0.000
0_235_0,MRA_MAP,20,342.248,END,0.000
0_230_0,MRA_MAP,23,342.452,END,0.000
0_252_0,MRA_MAP,30,342.860,END,0.000
0_249_0,MRA_MAP,26,343.279,END,0.000
0_250_0,MRA_MAP,16,344.387,END,0.000
0_251_0,MRA_MAP,21,344.841,END,0.000
0_236_0,MRA_MAP,11,363.081,END,0.000
1_16_0,MRA_REDUCE,20,367.163,END,345.541
1_19_0,MRA_REDUCE,23,367.278,END,345.579
1_20_0,MRA_REDUCE,24,367.279,END,345.800
1_22_0,MRA_REDUCE,26,367.665,END,345.639
1_11_0,MRA_REDUCE,15,367.692,END,345.161
1_12_0,MRA_REDUCE,16,367.905,END,345.422
1_8_0,MRA_REDUCE,12,367.947,END,344.853
1_26_0,MRA_REDUCE,30,367.957,END,346.105
1_17_0,MRA_REDUCE,21,368.246,END,345.588
1_15_0,MRA_REDUCE,19,368.510,END,345.256
1_18_0,MRA_REDUCE,22,368.521,END,345.616
1_14_0,MRA_REDUCE,18,368.954,END,345.252
1_9_0,MRA_REDUCE,13,369.039,END,345.057
1_0_1,MRA_REDUCE,12,369.200,START,
1_1_1,MRA_REDUCE,13,369.204,START,
1_2_1,MRA_REDUCE,15,369.211,START,
1_3_1,MRA_REDUCE,16,369.215,START,
1_4_1,MRA_REDUCE,18,369.221,START,
1_5_1,MRA_REDUCE,19,369.225,START,
1_28_1,MRA_REDUCE,20,369.229,START,
1_29_1,MRA_REDUCE,21,369.233,START,
1_30_1,MRA_REDUCE,22,369.237,START,
1_31_1,MRA_REDUCE,23,369.241,START,
1_54_0,MRA_REDUCE,24,369.246,START,
1_55_0,MRA_REDUCE,26,369.251,START,
1_56_0,MRA_REDUCE,30,369.267,START,
1_21_0,MRA_REDUCE,25,369.477,END,345.729
1_24_0,MRA_REDUCE,28,369.499,END,345.925
1_25_0,MRA_REDUCE,29,370.018,END,345.846
1_13_0,MRA_REDUCE,17,370.476,END,345.211
1_46_0,MRA_REDUCE,24,370.511,END,349.032
1_38_0,MRA_REDUCE,16,370.527,END,348.044
1_37_0,MRA_REDUCE,15,370.534,END,348.002
1_42_0,MRA_REDUCE,20,370.540,END,348.918
1_45_0,MRA_REDUCE,23,370.591,END,348.892
1_23_0,MRA_REDUCE,27,370.829,END,345.818
1_34_0,MRA_REDUCE,12,371.070,END,347.976
1_52_0,MRA_REDUCE,30,371.198,END,349.347
1_48_0,MRA_REDUCE,26,371.256,END,349.230
1_43_0,MRA_REDUCE,21,371.356,END,348.698
1_27_0,MRA_REDUCE,31,371.428,END,346.094
1_44_0,MRA_REDUCE,22,371.539,END,348.633
1_41_0,MRA_REDUCE,19,371.636,END,348.382
0_253_0,MRA_MAP,10,371.776,END,0.000
1_40_0,MRA_REDUCE,18,371.855,END,348.152
1_35_0,MRA_REDUCE,13,371.919,END,347.937
1_57_0,MRA_REDUCE,12,372.202,START,
1_58_0,MRA_REDUCE,13,372.206,START,
1_59_0,MRA_REDUCE,15,372.212,START,
1_60_0,MRA_REDUCE,16,372.216,START,
1_61_0,MRA_REDUCE,17,372.220,START,
1_62_0,MRA_REDUCE,18,372.222,START,
1_63_0,MRA_REDUCE,19,372.226,START,
1_47_0,MRA_REDUCE,25,372.413,END,348.665
1_50_0,MRA_REDUCE,28,372.661,END,349.087
1_7_0,MRA_REDUCE,11,372.797,END,344.568
1_51_0,MRA_REDUCE,29,373.424,END,349.253
1_39_0,MRA_REDUCE,17,373.532,END,348.267
1_49_0,MRA_REDUCE,27,373.805,END,348.794
1_53_0,MRA_REDUCE,31,374.443,END,349.109
1_33_0,MRA_REDUCE,11,375.996,END,347.767
1_10_0,MRA_REDUCE,14,381.427,END,344.949
1_36_0,MRA_REDUCE,14,384.831,END,348.353
1_6_0,MRA_REDUCE,10,385.430,END,344.327
1_32_0,MRA_REDUCE,10,387.620,END,347.612
0_255_0,MRA_MAP,10,400.338,END,0.000
0_255_1,MRA_MAP,10,400.338,END,0.000
1_0_0,MRA_REDUCE,12,402.291,END,379.196
1_0_1,MRA_REDUCE,12,402.291,END,379.196
1_2_0,MRA_REDUCE,15,403.455,END,380.924
1_2_1,MRA_REDUCE,15,403.455,END,380.924
1_28_0,MRA_REDUCE,20,403.724,END,382.102
1_28_1,MRA_REDUCE,20,403.724,END,382.102
1_1_0,MRA_REDUCE,13,404.260,END,380.278
1_1_1,MRA_REDUCE,13,404.260,END,380.278
1_31_0,MRA_REDUCE,23,404.265,END,382.567
1_31_1,MRA_REDUCE,23,404.265,END,382.567
1_54_0,MRA_REDUCE,24,404.357,END,382.878
1_3_0,MRA_REDUCE,16,404.538,END,382.055
1_3_1,MRA_REDUCE,16,404.538,END,382.055
0_254_0,MRA_MAP,14,404.849,END,0.000
1_56_0,MRA_REDUCE,30,405.072,END,383.221
1_29_0,MRA_REDUCE,21,405.205,END,382.548
1_29_1,MRA_REDUCE,21,405.205,END,382.548
1_55_0,MRA_REDUCE,26,405.221,END,383.195
1_4_0,MRA_REDUCE,18,405.441,END,381.739
1_4_1,MRA_REDUCE,18,405.441,END,381.739
1_30_0,MRA_REDUCE,22,405.479,END,382.573
1_30_1,MRA_REDUCE,22,405.479,END,382.573
1_5_0,MRA_REDUCE,19,405.765,END,382.510
1_5_1,MRA_REDUCE,19,405.765,END,382.510
1_59_0,MRA_REDUCE,15,406.200,END,383.669
1_57_0,MRA_REDUCE,12,406.562,END,383.468
1_60_0,MRA_REDUCE,16,406.984,END,384.501
1_62_0,MRA_REDUCE,18,407.478,END,383.775
1_58_0,MRA_REDUCE,13,407.495,END,383.513
1_63_0,MRA_REDUCE,19,407.757,END,384.503
1_61_0,MRA_REDUCE,17,408.925,END,383.661
