mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_44_0,MRA_MAP,8,60.051,START,
1_4_0,MRA_REDUCE,8,60.052,START,
0_71_0,MRA_MAP,9,60.055,START,
1_5_0,MRA_REDUCE,9,60.056,START,
0_52_0,MRA_MAP,10,60.059,START,
1_6_0,MRA_REDUCE,10,60.060,START,
0_53_0,MRA_MAP,11,60.062,START,
1_7_0,MRA_REDUCE,11,60.064,START,
0_85_0,MRA_MAP,12,60.066,START,
1_8_0,MRA_REDUCE,12,60.068,START,
0_57_0,MRA_MAP,13,60.070,START,
1_9_0,MRA_REDUCE,13,60.072,START,
1_10_0,MRA_REDUCE,14,60.074,START,
0_105_0,MRA_MAP,15,60.077,START,
1_11_0,MRA_REDUCE,15,60.078,START,
0_59_0,MRA_MAP,16,60.081,START,
1_12_0,MRA_REDUCE,16,60.082,START,
1_13_0,MRA_REDUCE,17,60.085,START,
0_99_0,MRA_MAP,18,60.087,START,
1_14_0,MRA_REDUCE,18,60.088,START,
0_86_0,MRA_MAP,19,60.091,START,
1_15_0,MRA_REDUCE,19,60.092,START,
0_58_0,MRA_MAP,20,60.095,START,
1_16_0,MRA_REDUCE,20,60.096,START,
0_56_0,MRA_MAP,21,60.099,START,
1_17_0,MRA_REDUCE,21,60.100,START,
0_104_0,MRA_MAP,22,60.103,START,
1_18_0,MRA_REDUCE,22,60.104,START,
0_61_0,MRA_MAP,23,60.107,START,
1_19_0,MRA_REDUCE,23,60.108,START,
1_20_0,MRA_REDUCE,24,60.111,START,
0_103_0,MRA_MAP,25,60.113,START,
1_21_0,MRA_REDUCE,25,60.114,START,
0_60_0,MRA_MAP,26,60.117,START,
1_22_0,MRA_REDUCE,26,60.118,START,
1_23_0,MRA_REDUCE,27,60.121,START,
0_83_0,MRA_MAP,28,60.124,START,
1_24_0,MRA_REDUCE,28,60.125,START,
1_25_0,MRA_REDUCE,29,60.127,START,
0_74_0,MRA_MAP,30,60.130,START,
1_26_0,MRA_REDUCE,30,60.131,START,
1_27_0,MRA_REDUCE,31,60.134,START,
0_7_0,MRA_MAP,3,60.282,END,0.000
0_81_0,MRA_MAP,22,60.323,END,0.000
0_65_0,MRA_MAP,29,60.504,END,0.000
